GeneID	SB1	SB2	CB1	CB2	G1	G2	GBE1	GBE2	DC1	DC2
MDOA012193	927	7177	3238	3787	2352	2386	2518	5648	18451	19989
MDOA015213	1977	6059	11168	7075	9726	8004	7897	6396	4002	4209
MDOA000285	2153	4971	14340	3680	11896	4812	11638	2563	8089	2410
MDOA011299	3734	16444	9111	12297	4973	8053	4346	4698	1187	1778
MDOA001173	1061	3118	9119	3661	9367	6941	9453	11529	6445	5937
MDOA010866	2300	6835	8917	3803	10192	6917	10045	6888	6738	4001
MDOA004318	1530	5267	11726	5561	11156	7722	11907	5257	4227	2293
MDOA012671	1632	4594	7979	5942	6744	4577	5980	6718	11715	10791
MDOA009597	3	8	6683	2012	19218	13976	17866	6374	332	283
MDOA004773	1777	2932	15419	4132	15224	5152	15165	3464	2586	945
MDOA013654	3460	6994	18114	7868	10466	5966	7664	2393	2660	1212
MDOA001809	1001	3062	9151	3961	8182	4530	9697	3875	16627	6808
MDOA003583	2209	5597	13247	4154	13047	4460	14106	3919	4549	1753
MDOA010611	1694	6108	11478	6159	11461	8159	12119	6221	2194	1454
MDOA004673	1705	3049	14355	4592	14807	6390	13530	5754	1724	1146
MDOA003127	1345	3625	13589	3922	11846	5548	9575	3990	9952	3667
MDOA010676	2044	7059	5354	4012	2550	1453	3703	4430	26806	9675
MDOA002709	1995	4444	15007	4807	13045	4475	14871	2264	4969	1212
MDOA001309	1035	5947	8227	7429	8654	11174	8429	10146	2073	4022
MDOA004132	1028	4583	632	629	97	106	148	268	42547	17139
MDOA009968	4368	11555	5010	17408	3532	4648	3918	8233	2276	6282
MDOA012632	3368	3011	17234	3543	14123	2329	17222	2248	3526	646
MDOA014593	3878	4279	13823	2606	9939	1565	22649	6193	1950	502
MDOA005372	1870	5430	17468	4669	13314	4952	12754	3420	2509	1029
MDOA014191	1665	8213	5422	12869	4586	8545	4599	12526	2121	6870
MDOA014490	2238	4290	17872	3120	9330	3912	9059	2163	12613	2834
MDOA008182	2	3	7	10	14	12	67	28	56358	11026
MDOA009876	5716	12805	7841	9049	3724	4866	4913	9004	4313	5350
MDOA002742	1618	3113	11520	3822	14736	4987	19657	4598	2907	654
MDOA008281	3030	5099	14557	4501	12336	5460	13686	5670	2283	992
MDOA012045	3284	6237	18680	3336	12949	4242	10797	2046	4927	1151
MDOA008344	2917	6323	21977	4510	12736	4735	9932	1957	1815	763
MDOA011437	2895	4633	18655	6453	13459	1928	13646	2087	3096	817
MDOA009541	1223	6342	5252	6723	3949	3333	5183	7370	16030	12266
MDOA005788	1758	5578	13469	7724	9764	8721	8315	5955	3317	3177
MDOA002268	1893	2652	8956	3211	11613	4753	13276	7437	10966	3055
MDOA008795	2441	9080	9798	5394	13476	7760	13242	4876	1064	747
MDOA006858	554	1578	38164	7816	3853	1093	1904	2104	7265	3580
MDOA002406	2476	5424	8380	4338	9282	4196	12139	4869	13932	2910
MDOA005438	2723	12775	7717	20752	2106	4839	2258	6726	3157	4984
MDOA005606	2619	2271	16600	2819	16311	3842	19786	2766	765	271
MDOA001997	5593	17995	7051	8361	4384	5352	5038	6826	3537	3914
MDOA008443	1806	8061	15620	8995	8226	7608	7643	3972	4019	2116
MDOA014957	1268	8833	6501	6109	4219	6342	4719	7373	11112	11592
MDOA008895	4920	4294	13177	3814	14012	2690	17645	2631	3653	1301
MDOA010893	1549	6047	1239	3013	1614	902	2615	5207	30169	15787
MDOA012954	5070	5961	4866	5789	4377	2917	4737	5112	16461	12909
MDOA008190	9181	35918	3859	4288	3923	3554	3429	2793	659	623
MDOA012968	2072	7672	6137	9510	6595	8356	6799	11036	3921	6135
MDOA011943	2324	2733	7965	3249	18249	6533	13896	2671	8611	2024
MDOA007202	1315	3238	10421	4854	8595	5237	7222	5082	14198	8127
MDOA012492	4578	10282	8763	4183	5010	3087	6357	5283	16229	4624
MDOA012852	1831	4485	15873	6455	14527	6170	11047	4654	2487	946
MDOA009283	1549	7252	14818	4897	13677	7650	13650	3336	1479	195
MDOA006558	1473	2856	10370	2981	7204	3401	9474	2709	25537	2535
MDOA006966	4230	5299	23418	5660	10740	3603	10390	2156	2151	973
MDOA012476	2313	6946	9840	7764	9244	7115	11481	7656	3890	2425
MDOA007959	2495	2131	12124	4835	9240	4312	7188	7953	11300	7099
MDOA008690	1257	5281	5217	7098	6866	7728	7311	11134	7055	9753
MDOA001024	2359	7129	12978	7756	9993	7170	12050	5601	2584	1164
MDOA004559	2687	6790	18079	2022	13045	3861	18692	868	2330	428
MDOA010088	6962	14659	8574	4755	13633	5200	10120	3346	1046	557
MDOA003853	5	5	12592	3497	16056	2737	25777	3237	3952	999
MDOA004676	2791	7072	12543	3618	14678	4492	17715	3763	1595	601
MDOA006860	1764	5558	15314	8157	11741	8754	11326	5272	347	674
MDOA009970	7	6	4973	1005	12457	4717	12517	7382	19563	6290
MDOA014036	2377	5719	15272	4916	13099	4743	10486	4122	5989	2217
MDOA001293	2978	6719	10522	8234	11499	7067	12449	5049	2996	1479
MDOA010803	1505	5134	8730	5108	8903	7422	7754	9888	7027	7628
MDOA006038	4173	5541	13649	5170	12208	3036	13848	1912	8652	926
MDOA002393	4689	5851	9257	7073	9075	7967	8499	9038	3527	4141
MDOA006030	1397	2198	11000	2456	10259	2673	8899	1698	24969	3628
MDOA006069	463	1132	3794	1139	16269	2983	23572	7339	10393	2099
MDOA006019	1876	3493	15443	3566	13944	6108	10580	4123	7191	2870
MDOA010114	1569	3656	12856	4140	16193	7218	15505	5200	1992	963
MDOA010796	2167	4725	14300	5476	11077	8270	9935	6105	4546	2726
MDOA001937	1807	7970	9956	8024	9216	8923	9801	5099	5673	2859
MDOA005297	1051	951	5849	720	4633	1475	1514	476	50345	2335
MDOA014344	4050	12780	10701	6519	7709	7777	8154	6067	3383	2211
MDOA004444	3320	9439	11258	8973	7677	6741	9025	6873	3797	2260
MDOA005993	1271	4316	5574	6202	2928	4372	5826	11030	12913	14939
MDOA008062	1434	4390	11547	6009	10349	7176	10533	5690	7509	4739
MDOA001790	2307	8973	11461	10937	9066	4642	8697	5065	5572	2747
MDOA012579	2537	4101	11739	4482	9349	3862	9206	2637	18929	2626
MDOA008647	2984	4418	11982	3357	14678	4955	16861	6790	2576	876
MDOA009013	1875	8562	10001	7627	7970	7343	7331	7337	6493	4944
MDOA011976	2197	5835	26075	6497	5228	2803	3496	1723	12449	3233
MDOA004658	951	2555	7529	3353	8488	2759	7611	3019	29621	3718
MDOA001019	3023	5441	9273	3501	5392	2246	5357	5488	19763	10127
MDOA005316	5742	8182	20000	4029	9910	3127	13249	1243	3845	290
MDOA012184	2396	6786	9476	5778	9444	6946	8840	11417	3743	4793
MDOA014999	2266	5055	12881	5364	11360	4868	10736	2786	11437	2872
MDOA012728	93	753	1258	1021	1107	1709	1295	4279	29229	28897
MDOA000548	2230	16012	1476	3035	1460	2063	2187	9397	13332	18455
MDOA001507	11	25	3759	678	14603	4000	17864	9552	13780	5382
MDOA010673	3344	17051	5785	4512	9820	4560	9770	4169	7916	2865
MDOA004064	4755	17323	3421	2483	1083	750	1753	2419	26075	9775
MDOA002299	1724	3795	12932	5478	11801	6074	9230	4656	10234	3937
MDOA009383	2662	5567	15311	4870	14323	3032	12159	2121	8262	1562
MDOA013143	1902	8987	11053	14237	4655	6178	4454	5600	5652	7172
MDOA008405	17739	22782	14691	7477	2304	929	2429	611	435	496
MDOA005544	2	37	122	117	206	934	188	2763	33995	31679
MDOA007126	2050	8043	12520	12168	9698	9885	7833	5835	762	1285
MDOA004140	2551	4289	17174	4029	12194	4424	9752	2781	11199	1739
MDOA013206	1643	3519	15028	5515	16042	5268	15417	3757	3104	890
MDOA006080	1007	4194	8642	5707	10688	9613	12238	10446	4803	2938
MDOA011237	3302	7963	11431	5172	3072	2442	3468	1916	22996	8527
MDOA000273	5603	4536	19626	3107	8490	2343	11937	1159	12351	1140
MDOA006231	1086	2562	10583	3383	11131	3547	10395	4181	19035	4393
MDOA009368	1654	4012	12629	5366	14227	5486	14025	4956	6185	1906
MDOA006315	1167	3702	9806	5214	11596	8942	12563	7543	5639	4278
MDOA001332	1552	3995	13584	4977	14366	6242	14275	6443	3072	2007
MDOA007926	2386	5543	9185	3110	12646	3274	14306	3335	13841	2895
MDOA004228	7404	13178	12684	4657	13536	4512	9744	2402	1820	614
MDOA007778	3086	13790	6557	8515	4139	5470	2932	2636	15228	8240
MDOA003769	1150	3965	9266	5696	9493	5790	9362	6223	13438	6299
MDOA008365	2158	3318	16443	5493	13967	5562	11221	2797	8472	1512
MDOA006377	3085	5335	26370	5512	13452	3677	9230	2461	1362	474
MDOA011752	1261	5980	7324	7234	6476	5248	7293	4621	15260	10266
MDOA011272	11972	9547	32670	3357	7547	881	4701	119	190	19
MDOA013234	3412	8123	20600	10158	11369	4410	9329	2327	770	536
